RequestID,EmpID,EmpName,Dept,Request_Date,Completion_Date,Request_Detail,PIC,Processing Days,SLA Compliance
REQ0059,101,Alice Johnson,HR,2024-01-25,2024-02-01,Benefit Claim,Sarah Supervisor,5,Miss
REQ0060,102,Bob Smith,HR,2024-01-26,2024-02-05,Access Approval,John Manager,6,Miss
REQ0061,103,Charlie Davis,HR,2024-01-26,2024-01-29,Payroll Issue,John Manager,1,Pass
REQ0062,103,Charlie Davis,HR,2024-01-26,2024-02-03,ID Card Replacement,Michael Lead,6,Miss
REQ0063,102,Bob Smith,HR,2024-01-26,2024-02-01,Benefit Claim,John Manager,4,Miss
REQ0064,104,David Brown,HR,2024-01-27,2024-02-01,Access Approval,John Manager,3,Pass
REQ0065,101,Alice Johnson,HR,2024-01-28,2024-02-04,Payroll Issue,Sarah Supervisor,5,Miss
REQ0066,103,Charlie Davis,HR,2024-01-28,2024-02-01,Benefit Claim,John Manager,3,Pass
REQ0067,101,Alice Johnson,HR,2024-01-29,2024-02-03,Benefit Claim,John Manager,5,Miss
REQ0068,101,Alice Johnson,HR,2024-01-29,2024-02-03,Benefit Claim,John Manager,5,Miss
REQ0069,103,Charlie Davis,HR,2024-01-29,2024-02-06,Payroll Issue,Michael Lead,6,Miss
REQ0070,103,Charlie Davis,HR,2024-01-30,2024-02-08,Payroll Issue,John Manager,7,Miss
REQ0071,101,Alice Johnson,HR,2024-01-30,2024-02-09,Benefit Claim,John Manager,8,Miss
REQ0072,103,Charlie Davis,HR,2024-01-31,2024-02-04,Access Approval,Michael Lead,3,Pass
REQ0073,101,Alice Johnson,HR,2024-01-31,2024-02-10,Access Approval,Michael Lead,8,Miss
REQ0074,101,Alice Johnson,HR,2024-01-31,2024-02-05,Benefit Claim,Sarah Supervisor,3,Pass
REQ0075,104,David Brown,HR,2024-02-01,2024-02-04,Access Approval,Sarah Supervisor,2,Pass
REQ0076,101,Alice Johnson,HR,2024-02-01,2024-02-11,Benefit Claim,John Manager,7,Miss
REQ0077,105,Eve Wilson,HR,2024-02-01,2024-02-08,ID Card Replacement,John Manager,5,Miss
REQ0078,101,Alice Johnson,HR,2024-02-01,2024-02-02,Payroll Issue,Michael Lead,1,Pass
REQ0079,103,Charlie Davis,HR,2024-02-02,2024-02-08,Payroll Issue,Sarah Supervisor,4,Miss
REQ0080,103,Charlie Davis,HR,2024-02-02,2024-02-09,Payroll Issue,Sarah Supervisor,5,Miss
REQ0081,104,David Brown,HR,2024-02-03,2024-02-13,Access Approval,Michael Lead,6,Miss
REQ0082,102,Bob Smith,HR,2024-02-03,2024-02-11,Benefit Claim,Sarah Supervisor,5,Miss
REQ0083,104,David Brown,HR,2024-02-04,2024-02-09,Benefit Claim,Michael Lead,4,Miss
REQ0084,105,Eve Wilson,HR,2024-02-04,2024-02-06,Access Approval,John Manager,1,Pass
REQ0085,105,Eve Wilson,HR,2024-02-05,2024-02-11,Payroll Issue,John Manager,5,Miss
REQ0086,102,Bob Smith,HR,2024-02-06,2024-02-08,Access Approval,Sarah Supervisor,2,Pass
REQ0087,104,David Brown,HR,2024-02-06,2024-02-10,ID Card Replacement,Sarah Supervisor,4,Miss
REQ0088,105,Eve Wilson,HR,2024-02-07,2024-02-12,Payroll Issue,Michael Lead,3,Pass
REQ0089,102,Bob Smith,HR,2024-02-07,2024-02-12,Payroll Issue,Sarah Supervisor,3,Pass
REQ0090,103,Charlie Davis,HR,2024-02-07,2024-02-08,Payroll Issue,Michael Lead,1,Pass
REQ0091,103,Charlie Davis,HR,2024-02-08,2024-02-17,Access Approval,Michael Lead,7,Miss
REQ0092,104,David Brown,HR,2024-02-08,2024-02-14,Payroll Issue,Michael Lead,4,Miss
REQ0093,101,Alice Johnson,HR,2024-02-08,2024-02-13,Payroll Issue,Michael Lead,3,Pass
REQ0094,101,Alice Johnson,HR,2024-02-08,2024-02-13,Benefit Claim,John Manager,3,Pass
REQ0095,102,Bob Smith,HR,2024-02-09,2024-02-12,Access Approval,Michael Lead,1,Pass
REQ0096,104,David Brown,HR,2024-02-09,2024-02-19,ID Card Replacement,Michael Lead,6,Miss
REQ0097,102,Bob Smith,HR,2024-02-09,2024-02-10,Payroll Issue,Michael Lead,1,Pass
REQ0098,103,Charlie Davis,HR,2024-02-10,2024-02-19,ID Card Replacement,Sarah Supervisor,5,Miss
REQ0099,105,Eve Wilson,HR,2024-02-10,2024-02-17,ID Card Replacement,Sarah Supervisor,5,Miss
REQ0100,101,Alice Johnson,HR,2024-02-11,2024-02-16,Access Approval,Sarah Supervisor,4,Miss
REQ0101,104,David Brown,HR,2024-02-11,2024-02-17,Payroll Issue,Sarah Supervisor,5,Miss
REQ0102,104,David Brown,HR,2024-02-12,2024-02-17,Payroll Issue,John Manager,5,Miss
REQ0103,101,Alice Johnson,HR,2024-02-12,2024-02-15,Access Approval,John Manager,3,Pass
REQ0104,104,David Brown,HR,2024-02-13,2024-02-21,Access Approval,John Manager,6,Miss
REQ0105,104,David Brown,HR,2024-02-13,2024-02-15,Access Approval,John Manager,2,Pass
REQ0106,105,Eve Wilson,HR,2024-02-13,2024-02-20,Payroll Issue,John Manager,5,Miss
REQ0107,101,Alice Johnson,HR,2024-02-14,2024-02-23,Benefit Claim,John Manager,7,Miss
REQ0108,103,Charlie Davis,HR,2024-02-14,2024-02-20,Access Approval,Michael Lead,4,Miss
REQ0109,104,David Brown,HR,2024-02-15,2024-02-18,Payroll Issue,Michael Lead,2,Pass
REQ0110,104,David Brown,HR,2024-02-15,2024-02-21,Benefit Claim,Sarah Supervisor,4,Miss
REQ0111,103,Charlie Davis,HR,2024-02-15,2024-02-17,ID Card Replacement,Michael Lead,2,Pass
REQ0112,104,David Brown,HR,2024-02-15,2024-02-20,Payroll Issue,John Manager,3,Pass
REQ0113,105,Eve Wilson,HR,2024-02-15,2024-02-18,Payroll Issue,John Manager,2,Pass
REQ0114,103,Charlie Davis,HR,2024-02-15,2024-02-16,Benefit Claim,Sarah Supervisor,1,Pass
REQ0115,104,David Brown,HR,2024-02-15,2024-02-21,Benefit Claim,Michael Lead,4,Miss
REQ0116,101,Alice Johnson,HR,2024-02-16,2024-02-21,Payroll Issue,John Manager,3,Pass
REQ0117,103,Charlie Davis,HR,2024-02-16,2024-02-21,Access Approval,John Manager,3,Pass
REQ0118,103,Charlie Davis,HR,2024-02-16,2024-02-26,Benefit Claim,Michael Lead,6,Miss
REQ0119,105,Eve Wilson,HR,2024-02-17,2024-02-19,Access Approval,John Manager,0,Pass
REQ0120,103,Charlie Davis,HR,2024-02-17,2024-02-22,Payroll Issue,Sarah Supervisor,3,Pass
REQ0121,103,Charlie Davis,HR,2024-02-18,2024-02-22,Payroll Issue,Sarah Supervisor,3,Pass
REQ0122,102,Bob Smith,HR,2024-02-18,2024-02-20,Access Approval,Michael Lead,1,Pass
REQ0123,103,Charlie Davis,HR,2024-02-19,2024-02-20,ID Card Replacement,John Manager,1,Pass
REQ0124,101,Alice Johnson,HR,2024-02-20,2024-02-29,Payroll Issue,Michael Lead,7,Miss
REQ0125,102,Bob Smith,HR,2024-02-20,2024-02-22,Benefit Claim,Sarah Supervisor,2,Pass
REQ0126,105,Eve Wilson,HR,2024-02-21,2024-02-29,Access Approval,Sarah Supervisor,6,Miss
REQ0127,103,Charlie Davis,HR,2024-02-21,2024-02-22,Benefit Claim,John Manager,1,Pass
REQ0128,105,Eve Wilson,HR,2024-02-21,2024-02-25,Benefit Claim,Sarah Supervisor,3,Pass
REQ0129,101,Alice Johnson,HR,2024-02-22,2024-02-28,Benefit Claim,Michael Lead,4,Miss
REQ0130,101,Alice Johnson,HR,2024-02-22,2024-02-29,Benefit Claim,Michael Lead,5,Miss
REQ0131,105,Eve Wilson,HR,2024-02-23,2024-02-28,Access Approval,John Manager,3,Pass
REQ0132,103,Charlie Davis,HR,2024-02-23,2024-02-25,Access Approval,Sarah Supervisor,1,Pass
REQ0133,104,David Brown,HR,2024-02-24,2024-02-27,Benefit Claim,Michael Lead,1,Pass
REQ0134,101,Alice Johnson,HR,2024-02-24,2024-02-27,Access Approval,Michael Lead,1,Pass
REQ0135,102,Bob Smith,HR,2024-02-25,2024-03-03,Access Approval,John Manager,5,Miss
REQ0136,103,Charlie Davis,HR,2024-02-25,2024-02-26,Access Approval,Michael Lead,0,Pass
REQ0137,101,Alice Johnson,HR,2024-02-25,2024-03-06,Access Approval,Michael Lead,7,Miss
REQ0138,104,David Brown,HR,2024-02-25,2024-03-01,Access Approval,Michael Lead,4,Miss
REQ0139,103,Charlie Davis,HR,2024-02-26,2024-03-06,Access Approval,Michael Lead,7,Miss
REQ0140,101,Alice Johnson,HR,2024-02-26,2024-03-06,ID Card Replacement,Sarah Supervisor,7,Miss
REQ0141,103,Charlie Davis,HR,2024-02-27,2024-03-03,Payroll Issue,Michael Lead,4,Miss
REQ0142,101,Alice Johnson,HR,2024-02-28,2024-02-29,Benefit Claim,Sarah Supervisor,1,Pass
REQ0143,101,Alice Johnson,HR,2024-02-28,2024-03-04,ID Card Replacement,Sarah Supervisor,3,Pass
REQ0144,104,David Brown,HR,2024-02-28,2024-03-05,Payroll Issue,John Manager,4,Miss
REQ0145,102,Bob Smith,HR,2024-03-01,2024-03-10,Access Approval,Sarah Supervisor,6,Miss
REQ0146,104,David Brown,HR,2024-03-02,2024-03-05,Payroll Issue,John Manager,1,Pass
REQ0147,102,Bob Smith,HR,2024-03-03,2024-03-05,Payroll Issue,John Manager,1,Pass
REQ0148,105,Eve Wilson,HR,2024-03-04,2024-03-11,Payroll Issue,Michael Lead,5,Miss
REQ0149,105,Eve Wilson,HR,2024-03-04,2024-03-14,ID Card Replacement,Michael Lead,8,Miss
REQ0150,105,Eve Wilson,HR,2024-03-04,2024-03-09,Access Approval,Michael Lead,5,Miss
REQ0151,102,Bob Smith,HR,2024-03-04,2024-03-13,ID Card Replacement,Michael Lead,7,Miss
REQ0152,102,Bob Smith,HR,2024-03-05,2024-03-11,Payroll Issue,Michael Lead,4,Miss
REQ0153,105,Eve Wilson,HR,2024-03-06,2024-03-09,Access Approval,Sarah Supervisor,3,Pass
REQ0154,101,Alice Johnson,HR,2024-03-06,2024-03-15,ID Card Replacement,John Manager,7,Miss
REQ0155,102,Bob Smith,HR,2024-03-06,2024-03-07,Access Approval,Michael Lead,1,Pass
REQ0156,105,Eve Wilson,HR,2024-03-07,2024-03-10,Payroll Issue,John Manager,2,Pass
REQ0157,104,David Brown,HR,2024-03-07,2024-03-10,ID Card Replacement,John Manager,2,Pass
REQ0158,104,David Brown,HR,2024-03-07,2024-03-11,Access Approval,Michael Lead,2,Pass
REQ0159,101,Alice Johnson,HR,2024-03-07,2024-03-12,Benefit Claim,Sarah Supervisor,3,Pass
REQ0160,104,David Brown,HR,2024-03-07,2024-03-10,ID Card Replacement,Sarah Supervisor,2,Pass
REQ0161,105,Eve Wilson,HR,2024-03-07,2024-03-10,Benefit Claim,Michael Lead,2,Pass
REQ0162,102,Bob Smith,HR,2024-03-07,2024-03-15,Payroll Issue,Sarah Supervisor,6,Miss
REQ0163,101,Alice Johnson,HR,2024-03-07,2024-03-10,Payroll Issue,John Manager,2,Pass
REQ0164,103,Charlie Davis,HR,2024-03-08,2024-03-12,Access Approval,John Manager,2,Pass
REQ0165,103,Charlie Davis,HR,2024-03-09,2024-03-18,Payroll Issue,Michael Lead,5,Miss
REQ0166,104,David Brown,HR,2024-03-09,2024-03-10,Access Approval,John Manager,0,Pass
REQ0167,101,Alice Johnson,HR,2024-03-09,2024-03-19,Access Approval,Sarah Supervisor,6,Miss
REQ0168,104,David Brown,HR,2024-03-09,2024-03-13,ID Card Replacement,Sarah Supervisor,2,Pass
REQ0169,105,Eve Wilson,HR,2024-03-10,2024-03-18,Access Approval,Sarah Supervisor,5,Miss
REQ0170,101,Alice Johnson,HR,2024-03-10,2024-03-16,Payroll Issue,Sarah Supervisor,5,Miss
REQ0171,104,David Brown,HR,2024-03-10,2024-03-17,Payroll Issue,Sarah Supervisor,5,Miss
REQ0172,105,Eve Wilson,HR,2024-03-10,2024-03-13,Access Approval,Sarah Supervisor,2,Pass
REQ0173,101,Alice Johnson,HR,2024-03-10,2024-03-20,ID Card Replacement,Michael Lead,7,Miss
REQ0174,104,David Brown,HR,2024-03-12,2024-03-13,Benefit Claim,Sarah Supervisor,1,Pass
REQ0175,102,Bob Smith,HR,2024-03-12,2024-03-17,Benefit Claim,Sarah Supervisor,4,Miss
REQ0176,101,Alice Johnson,HR,2024-03-12,2024-03-21,Payroll Issue,Sarah Supervisor,7,Miss
REQ0177,102,Bob Smith,HR,2024-03-13,2024-03-15,Payroll Issue,Sarah Supervisor,2,Pass
REQ0178,102,Bob Smith,HR,2024-03-13,2024-03-22,Benefit Claim,Michael Lead,7,Miss
REQ0179,102,Bob Smith,HR,2024-03-13,2024-03-18,Benefit Claim,John Manager,3,Pass
REQ0180,102,Bob Smith,HR,2024-03-14,2024-03-22,ID Card Replacement,Michael Lead,6,Miss
REQ0181,101,Alice Johnson,HR,2024-03-14,2024-03-19,Payroll Issue,John Manager,3,Pass
REQ0182,101,Alice Johnson,HR,2024-03-15,2024-03-20,Access Approval,Michael Lead,3,Pass
REQ0183,101,Alice Johnson,HR,2024-03-15,2024-03-18,Benefit Claim,John Manager,1,Pass
REQ0184,104,David Brown,HR,2024-03-15,2024-03-20,ID Card Replacement,John Manager,3,Pass
REQ0185,104,David Brown,HR,2024-03-16,2024-03-17,Access Approval,Sarah Supervisor,0,Pass
REQ0186,104,David Brown,HR,2024-03-16,2024-03-24,Access Approval,Sarah Supervisor,5,Miss
REQ0187,104,David Brown,HR,2024-03-16,2024-03-17,Benefit Claim,Michael Lead,0,Pass
REQ0188,103,Charlie Davis,HR,2024-03-16,2024-03-23,Benefit Claim,John Manager,5,Miss
REQ0189,105,Eve Wilson,HR,2024-03-17,2024-03-22,Benefit Claim,John Manager,4,Miss
REQ0190,105,Eve Wilson,HR,2024-03-17,2024-03-19,Access Approval,John Manager,1,Pass
REQ0191,105,Eve Wilson,HR,2024-03-17,2024-03-18,Benefit Claim,Michael Lead,0,Pass
REQ0192,102,Bob Smith,HR,2024-03-18,2024-03-23,Access Approval,Sarah Supervisor,5,Miss
REQ0193,102,Bob Smith,HR,2024-03-18,2024-03-23,Benefit Claim,John Manager,5,Miss
REQ0194,105,Eve Wilson,HR,2024-03-18,2024-03-25,Payroll Issue,John Manager,5,Miss
REQ0195,102,Bob Smith,HR,2024-03-19,2024-03-29,Benefit Claim,Sarah Supervisor,8,Miss
REQ0196,102,Bob Smith,HR,2024-03-19,2024-03-29,ID Card Replacement,Sarah Supervisor,8,Miss
REQ0197,102,Bob Smith,HR,2024-03-19,2024-03-25,ID Card Replacement,John Manager,4,Miss
REQ0198,102,Bob Smith,HR,2024-03-20,2024-03-25,ID Card Replacement,Sarah Supervisor,3,Pass
REQ0199,105,Eve Wilson,HR,2024-03-20,2024-03-23,Payroll Issue,Michael Lead,3,Pass
REQ0200,102,Bob Smith,HR,2024-03-20,2024-03-30,Payroll Issue,Sarah Supervisor,8,Miss
REQ0201,103,Charlie Davis,HR,2024-03-21,2024-03-24,Payroll Issue,Sarah Supervisor,2,Pass
REQ0202,104,David Brown,HR,2024-03-21,2024-03-27,Benefit Claim,Michael Lead,4,Miss
REQ0203,104,David Brown,HR,2024-03-21,2024-03-26,Access Approval,Michael Lead,3,Pass
REQ0204,102,Bob Smith,HR,2024-03-21,2024-03-27,ID Card Replacement,Michael Lead,4,Miss
REQ0205,104,David Brown,HR,2024-03-21,2024-03-30,Payroll Issue,John Manager,7,Miss
REQ0206,105,Eve Wilson,HR,2024-03-22,2024-03-30,Payroll Issue,John Manager,6,Miss
REQ0207,101,Alice Johnson,HR,2024-03-22,2024-03-27,Access Approval,Michael Lead,3,Pass
REQ0208,105,Eve Wilson,HR,2024-03-22,2024-03-23,Benefit Claim,Michael Lead,1,Pass
REQ0209,101,Alice Johnson,HR,2024-03-23,2024-03-24,Access Approval,John Manager,0,Pass
REQ0210,105,Eve Wilson,HR,2024-03-23,2024-03-24,ID Card Replacement,Michael Lead,0,Pass
REQ0211,104,David Brown,HR,2024-03-23,2024-03-25,Benefit Claim,John Manager,0,Pass
REQ0212,103,Charlie Davis,HR,2024-03-24,2024-03-27,Benefit Claim,John Manager,2,Pass
REQ0213,101,Alice Johnson,HR,2024-03-25,2024-04-02,Access Approval,Michael Lead,6,Miss
REQ0214,101,Alice Johnson,HR,2024-03-26,2024-04-04,Benefit Claim,John Manager,7,Miss
REQ0215,103,Charlie Davis,HR,2024-03-26,2024-04-01,Benefit Claim,Michael Lead,4,Miss
REQ0216,104,David Brown,HR,2024-03-26,2024-03-28,ID Card Replacement,John Manager,2,Pass
REQ0217,104,David Brown,HR,2024-03-26,2024-03-31,ID Card Replacement,Michael Lead,4,Miss
REQ0218,105,Eve Wilson,HR,2024-03-27,2024-03-30,Access Approval,Michael Lead,3,Pass
REQ0219,105,Eve Wilson,HR,2024-03-27,2024-04-01,Benefit Claim,Sarah Supervisor,3,Pass
REQ0220,102,Bob Smith,HR,2024-03-28,2024-04-05,Access Approval,Sarah Supervisor,6,Miss
REQ0221,105,Eve Wilson,HR,2024-03-28,2024-03-31,Benefit Claim,John Manager,2,Pass
REQ0222,104,David Brown,HR,2024-03-28,2024-04-01,Benefit Claim,Sarah Supervisor,2,Pass
REQ0223,105,Eve Wilson,HR,2024-03-29,2024-04-05,Payroll Issue,Sarah Supervisor,5,Miss
REQ0224,101,Alice Johnson,HR,2024-03-29,2024-04-04,Access Approval,Michael Lead,4,Miss
REQ0225,102,Bob Smith,HR,2024-03-30,2024-04-01,Benefit Claim,John Manager,0,Pass
REQ0226,105,Eve Wilson,HR,2024-03-30,2024-04-09,ID Card Replacement,John Manager,6,Miss
REQ0227,101,Alice Johnson,HR,2024-03-30,2024-04-02,Access Approval,Michael Lead,1,Pass
REQ0228,104,David Brown,HR,2024-03-31,2024-04-02,ID Card Replacement,Michael Lead,1,Pass
REQ0229,105,Eve Wilson,HR,2024-03-31,2024-04-06,ID Card Replacement,John Manager,5,Miss
REQ0230,101,Alice Johnson,HR,2024-03-31,2024-04-07,Benefit Claim,Sarah Supervisor,5,Miss
REQ0231,105,Eve Wilson,HR,2024-04-01,2024-04-07,Access Approval,Michael Lead,5,Miss
REQ0232,102,Bob Smith,HR,2024-04-01,2024-04-05,Access Approval,John Manager,4,Miss
REQ0233,103,Charlie Davis,HR,2024-04-01,2024-04-06,Benefit Claim,John Manager,5,Miss
REQ0234,103,Charlie Davis,HR,2024-04-01,2024-04-10,Access Approval,Sarah Supervisor,7,Miss
REQ0235,102,Bob Smith,HR,2024-04-02,2024-04-05,Benefit Claim,Michael Lead,3,Pass
REQ0236,103,Charlie Davis,HR,2024-04-02,2024-04-10,Payroll Issue,John Manager,6,Miss
REQ0237,102,Bob Smith,HR,2024-04-03,2024-04-04,Payroll Issue,Sarah Supervisor,1,Pass
REQ0238,105,Eve Wilson,HR,2024-04-03,2024-04-06,Benefit Claim,Sarah Supervisor,3,Pass
REQ0239,105,Eve Wilson,HR,2024-04-04,2024-04-05,ID Card Replacement,John Manager,1,Pass
REQ0240,104,David Brown,HR,2024-04-04,2024-04-09,Access Approval,Michael Lead,3,Pass
REQ0241,101,Alice Johnson,HR,2024-04-04,2024-04-06,Access Approval,Sarah Supervisor,2,Pass
REQ0242,105,Eve Wilson,HR,2024-04-05,2024-04-14,Access Approval,Michael Lead,6,Miss
REQ0243,101,Alice Johnson,HR,2024-04-05,2024-04-09,ID Card Replacement,John Manager,2,Pass
REQ0244,105,Eve Wilson,HR,2024-04-06,2024-04-15,Payroll Issue,John Manager,5,Miss
REQ0245,103,Charlie Davis,HR,2024-04-08,2024-04-09,Access Approval,Sarah Supervisor,1,Pass
REQ0246,103,Charlie Davis,HR,2024-04-08,2024-04-14,Access Approval,Michael Lead,5,Miss
REQ0247,101,Alice Johnson,HR,2024-04-08,2024-04-09,ID Card Replacement,Sarah Supervisor,1,Pass
REQ0248,103,Charlie Davis,HR,2024-04-09,2024-04-10,Benefit Claim,John Manager,1,Pass
REQ0249,105,Eve Wilson,HR,2024-04-09,2024-04-14,Payroll Issue,Michael Lead,4,Miss
REQ0250,103,Charlie Davis,HR,2024-04-09,2024-04-16,Benefit Claim,Michael Lead,5,Miss
REQ0251,103,Charlie Davis,HR,2024-04-09,2024-04-18,ID Card Replacement,John Manager,7,Miss
REQ0252,103,Charlie Davis,HR,2024-04-09,2024-04-11,ID Card Replacement,John Manager,2,Pass
REQ0253,102,Bob Smith,HR,2024-04-10,2024-04-17,Benefit Claim,Sarah Supervisor,5,Miss
REQ0254,101,Alice Johnson,HR,2024-04-10,2024-04-11,Access Approval,Sarah Supervisor,1,Pass
REQ0255,102,Bob Smith,HR,2024-04-11,2024-04-17,Benefit Claim,Sarah Supervisor,4,Miss
REQ0256,101,Alice Johnson,HR,2024-04-11,2024-04-13,Payroll Issue,John Manager,2,Pass
REQ0257,102,Bob Smith,HR,2024-04-11,2024-04-13,Payroll Issue,John Manager,2,Pass
REQ0258,104,David Brown,HR,2024-04-12,2024-04-22,ID Card Replacement,Sarah Supervisor,6,Miss
REQ0259,102,Bob Smith,HR,2024-04-12,2024-04-13,ID Card Replacement,John Manager,1,Pass
REQ0260,101,Alice Johnson,HR,2024-04-12,2024-04-22,ID Card Replacement,Michael Lead,6,Miss
REQ0261,104,David Brown,HR,2024-04-13,2024-04-23,Benefit Claim,John Manager,6,Miss
